ticker,feature,count,mean_rel_diff_pct,std_rel_diff_pct,min_rel_diff_pct,p25_rel_diff_pct,median_rel_diff_pct,p75_rel_diff_pct,p95_rel_diff_pct,p99_rel_diff_pct,max_rel_diff_pct
ADI,Close,2010,0.312,0.0,0.312,0.312,0.312,0.312,0.312,0.312,0.312
ADI,High,2010,0.312,0.0,0.312,0.312,0.312,0.312,0.312,0.312,0.312
ADI,Low,2010,0.312,0.0,0.312,0.312,0.312,0.312,0.312,0.312,0.312
ADI,Open,2010,0.312,0.0,0.312,0.312,0.312,0.312,0.312,0.312,0.312
AES,Close,2010,1.184,0.0,1.184,1.184,1.184,1.184,1.184,1.184,1.184
AES,High,2010,1.184,0.0,1.184,1.184,1.184,1.184,1.184,1.184,1.184
AES,Low,2010,1.184,0.0,1.184,1.184,1.184,1.184,1.184,1.184,1.184
AES,Open,2010,1.184,0.0,1.184,1.184,1.184,1.184,1.184,1.184,1.184
AJG,Close,2010,0.305,0.0,0.305,0.305,0.305,0.305,0.305,0.305,0.305
AJG,High,2010,0.305,0.0,0.305,0.305,0.305,0.305,0.305,0.305,0.305
AJG,Low,2010,0.305,0.0,0.305,0.305,0.305,0.305,0.305,0.305,0.305
AJG,Open,2010,0.305,0.0,0.305,0.305,0.305,0.305,0.305,0.305,0.305
ALL,Close,2010,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.504
ALL,High,2010,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.504
ALL,Low,2010,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.504
ALL,Open,2010,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.504
AMCR,Close,2010,1.295,0.0,1.295,1.295,1.295,1.295,1.295,1.295,1.295
AMCR,High,2010,1.295,0.0,1.295,1.295,1.295,1.295,1.295,1.295,1.295
AMCR,Low,2010,1.295,0.0,1.295,1.295,1.295,1.295,1.295,1.295,1.295
AMCR,Open,2010,1.295,0.0,1.295,1.295,1.295,1.295,1.295,1.295,1.295
AOS,Close,2010,0.494,0.0,0.494,0.494,0.494,0.494,0.494,0.494,0.494
AOS,High,2010,0.494,0.0,0.494,0.494,0.494,0.494,0.494,0.494,0.494
AOS,Low,2010,0.494,0.0,0.494,0.494,0.494,0.494,0.494,0.494,0.494
AOS,Open,2010,0.494,0.0,0.494,0.494,0.494,0.494,0.494,0.494,0.494
ATO,Close,2010,0.553,0.0,0.553,0.553,0.553,0.553,0.553,0.553,0.553
ATO,High,2010,0.553,0.0,0.553,0.553,0.553,0.553,0.553,0.553,0.553
ATO,Low,2010,0.553,0.0,0.553,0.553,0.553,0.553,0.553,0.553,0.553
ATO,Open,2010,0.553,0.0,0.553,0.553,0.553,0.553,0.553,0.553,0.553
AVY,Close,2010,0.493,0.0,0.493,0.493,0.493,0.493,0.493,0.493,0.493
