Ticker,Sector,Market Cap (in tens of millions)
MMM,Industrials,8799.0501376
AOS,Industrials,1076.0338432
ABT,Healthcare,19529.6903168
ABBV,Healthcare,39732.5729792
ACN,Technology,13354.6909696
ADBE,Technology,10825.4142464
AMD,Technology,32632.6714368
AES,Utilities,1175.711744
AFL,Financial Services,5976.4711424
A,Healthcare,3484.2013696
APD,Basic Materials,6260.6413824
ABNB,Consumer Cyclical,7667.1844352
AKAM,Technology,1354.7788288
ALB,Basic Materials,1984.7827456
ARE,Real Estate,929.7564672
ALGN,Healthcare,1377.385984
ALLE,Industrials,1394.9220864
LNT,Utilities,1825.338368
ALL,Financial Services,5400.3253248
GOOGL,Communication Services,381031.3371648
GOOG,Communication Services,380934.5273856
MO,Consumer Defensive,11342.7841024
AMZN,Consumer Cyclical,225551.4238976
AMCR,Consumer Cyclical,2332.8688128
AEE,Utilities,3041.7821696
AEP,Utilities,6997.1247104
AXP,Financial Services,23846.66624
AIG,Financial Services,4340.3501568
AMT,Real Estate,8770.813952
AWK,Utilities,2525.006848
AMP,Financial Services,4382.26944
AME,Industrials,5393.0057728
AMGN,Healthcare,20201.5604736
APH,Technology,18566.06208
ADI,Technology,17384.1891328
AON,Financial Services,6986.9010944
APA,Energy,1039.7274112
APO,Financial Services,6948.818944
AAPL,Technology,388877.7003008
AMAT,Technology,29794.7168768
APP,Communication Services,14164.4873728
APTV,Consumer Cyclical,1719.3439232
ACGL,Financial Services,3571.503104
ADM,Consumer Defensive,3262.1072384
ARES,Financial Services,4035.024896
ANET,Technology,16722.0461568
AJG,Financial Services,5563.787264
AIZ,Financial Services,1131.8505472
T,Communication Services,19836.2791936
ATO,Utilities,2993.948672
ADSK,Technology,4834.6738688
ADP,Technology,8674.2122496
AZO,Consumer Cyclical,6234.7874304
AVB,Real Estate,2511.8941184
AVY,Consumer Cyclical,1522.1008384
AXON,Industrials,3446.8622336
BKR,Energy,6147.8191104
BALL,Consumer Cyclical,1810.6064896
BAC,Financial Services,38747.0426112
BAX,Healthcare,1110.2695424
BDX,Healthcare,6716.5888512
BRK-B,Financial Services,107478.4239616
BBY,Consumer Cyclical,1354.733056
