count_tickers,142
largest_difference_pct,open=1.936,close=1.936,high=1.936,low=1.936
ticker,Open,Close,High,Low
CRH,1.936,1.936,1.936,1.936
KHC,1.651,1.651,1.651,1.651
OKE,1.370,1.370,1.370,1.370
AMCR,1.295,1.295,1.295,1.295
KMB,1.220,1.220,1.220,1.220
LYB,1.200,1.200,1.200,1.200
SWKS,1.188,1.188,1.188,1.188
AES,1.184,1.184,1.184,1.184
DOW,1.171,1.171,1.171,1.171
KIM,1.106,1.106,1.106,1.106
D,1.055,1.055,1.055,1.055
ES,1.046,1.046,1.046,1.046
TAP,1.019,1.019,1.019,1.019
IP,0.988,0.988,0.988,0.988
PNW,0.982,0.982,0.982,0.982
KEY,0.980,0.980,0.980,0.980
KMI,0.970,0.970,0.970,0.970
FE,0.956,0.956,0.956,0.956
RF,0.952,0.952,0.952,0.952
BF-B,0.915,0.915,0.915,0.915
GPC,0.908,0.908,0.908,0.908
PEP,0.886,0.886,0.886,0.886
EXC,0.849,0.849,0.849,0.849
VTRS,0.848,0.848,0.848,0.848
MOS,0.836,0.836,0.836,0.836
LW,0.834,0.834,0.834,0.834
PSX,0.815,0.815,0.815,0.815
LNT,0.813,0.813,0.813,0.813
TSN,0.802,0.802,0.802,0.802
UNH,0.771,0.771,0.771,0.771
MET,0.717,0.717,0.717,0.717
CFG,0.702,0.702,0.702,0.702
MTB,0.691,0.691,0.691,0.691
NI,0.686,0.686,0.686,0.686
NEE,0.677,0.677,0.677,0.677
NKE,0.659,0.659,0.659,0.659
TXN,0.653,0.653,0.653,0.653
QCOM,0.638,0.638,0.638,0.638
SNA,0.633,0.633,0.633,0.633
VLO,0.612,0.612,0.612,0.612
FANG,0.594,0.594,0.594,0.594
MCHP,0.585,0.585,0.585,0.585
BAC,0.562,0.562,0.562,0.562
NTRS,0.558,0.558,0.558,0.558
MCD,0.556,0.556,0.556,0.556
BLK,0.554,0.554,0.554,0.554
ATO,0.553,0.553,0.553,0.553
MS,0.551,0.551,0.551,0.551
CI,0.548,0.548,0.548,0.548
EXE,0.543,0.543,0.543,0.543
EQIX,0.542,0.542,0.542,0.542
FOX,0.535,0.535,0.535,0.535
RCL,0.530,0.530,0.530,0.530
JNJ,0.529,0.529,0.529,0.529
GS,0.524,0.524,0.524,0.524
LMT,0.524,0.524,0.524,0.524
C,0.521,0.521,0.521,0.521
UNP,0.520,0.520,0.520,0.520
FDS,0.513,0.513,0.513,0.513
ALL,0.504,0.504,0.504,0.504
CDW,0.502,0.502,0.502,0.502
TRGP,0.499,0.499,0.499,0.499
AOS,0.494,0.494,0.494,0.494
HON,0.494,0.494,0.494,0.494
AVY,0.493,0.493,0.493,0.493
WFC,0.492,0.492,0.492,0.492
FOXA,0.488,0.488,0.488,0.488
HAL,0.482,0.482,0.482,0.482
TMUS,0.479,0.479,0.479,0.479
LEN,0.446,0.446,0.446,0.446
TSCO,0.445,0.445,0.445,0.445
NSC,0.442,0.442,0.442,0.442
HIG,0.426,0.426,0.426,0.426
SYF,0.407,0.407,0.407,0.407
FDX,0.404,0.404,0.404,0.404
DD,0.400,0.400,0.400,0.400
JKHY,0.362,0.362,0.362,0.362
WELL,0.354,0.354,0.354,0.354
LHX,0.347,0.347,0.347,0.347
ROK,0.346,0.346,0.346,0.346
CHRW,0.341,0.341,0.341,0.341
XYL,0.338,0.338,0.338,0.338
EBAY,0.333,0.333,0.333,0.333
CSX,0.328,0.328,0.328,0.328
GPN,0.327,0.327,0.327,0.327
NOC,0.319,0.319,0.319,0.319
EL,0.313,0.313,0.313,0.313
ADI,0.312,0.312,0.312,0.312
HII,0.312,0.312,0.312,0.312
NRG,0.312,0.312,0.312,0.312
AJG,0.305,0.305,0.305,0.305
PYPL,0.302,0.302,0.302,0.302
ROL,0.302,0.302,0.302,0.302
BALL,0.298,0.298,0.298,0.298
DHI,0.285,0.285,0.285,0.285
PAYC,0.272,0.272,0.272,0.272
DAL,0.271,0.271,0.271,0.271
HUBB,0.271,0.271,0.271,0.271
EFX,0.270,0.270,0.270,0.270
TPR,0.267,0.267,0.267,0.267
LH,0.250,0.250,0.250,0.250
CBOE,0.246,0.246,0.246,0.246
TT,0.241,0.241,0.241,0.241
GM,0.236,0.236,0.236,0.236
SPGI,0.232,0.232,0.232,0.232
BRO,0.230,0.230,0.230,0.230
DOV,0.229,0.229,0.229,0.229
BKNG,0.228,0.228,0.228,0.228
CTVA,0.225,0.225,0.225,0.225
SHW,0.221,0.221,0.221,0.221
WYNN,0.218,0.218,0.218,0.218
EXPE,0.217,0.217,0.217,0.217
MCO,0.216,0.216,0.216,0.216
NEM,0.202,0.202,0.202,0.202
JBHT,0.200,0.200,0.200,0.200
MAR,0.193,0.193,0.193,0.193
VMC,0.189,0.189,0.189,0.189
GLW,0.186,0.186,0.186,0.186
PH,0.186,0.186,0.186,0.186
GE,0.146,0.146,0.146,0.146
ODFL,0.140,0.140,0.140,0.140
COST,0.137,0.137,0.137,0.137
CEG,0.134,0.134,0.134,0.134
WRB,0.127,0.127,0.127,0.127
MLM,0.123,0.123,0.123,0.123
LRCX,0.120,0.120,0.120,0.120
TPL,0.114,0.114,0.114,0.114
IBKR,0.107,0.107,0.107,0.107
UHS,0.097,0.097,0.097,0.097
EA,0.095,0.095,0.095,0.095
MCK,0.083,0.083,0.083,0.083
GOOG,0.070,0.070,0.070,0.070
GOOGL,0.070,0.070,0.070,0.070
Q,0.064,0.064,0.064,0.064
L,0.058,0.058,0.058,0.058
HWM,0.057,0.057,0.057,0.057
FIX,0.052,0.052,0.052,0.052
BAX,0.049,0.049,0.049,0.049
WDC,0.048,0.048,0.048,0.048
HLT,0.047,0.047,0.047,0.047
O,0.039,0.039,0.039,0.039
IR,0.022,0.022,0.022,0.022
