Model,Test Acc,Precision,Recall,F1,ROC-AUC
Base RF,0.6693,0.6719,0.7926,0.7273,0.7519
PCA RF,0.6502,0.6283,0.9816,0.7662,0.7947
LASSO-sel RF,0.6503,0.6486,0.8249,0.7262,0.7873
Ridge-sel RF,0.6864,0.6714,0.8756,0.76,0.7968
Base RF+DOW,0.5059,0.5429,0.9631,0.6944,0.546
PCA RF+DOW,0.5,0.5398,1.0,0.7011,0.5108
LASSO-sel RF+DOW,0.519,0.5583,0.53,0.5437,0.516
Ridge-sel RF+DOW,0.4977,0.5387,0.9954,0.699,0.4911
Base RF+Lags,0.5042,0.546,0.4378,0.4859,0.5285
PCA RF+Lags,0.5191,0.5565,0.6359,0.5935,0.5252
LASSO-sel RF+Lags,0.5438,0.573,0.7235,0.6395,0.5321
Ridge-sel RF+Lags,0.5054,0.5439,1.0,0.7045,0.4934
