Model,Best C,Avg Train Acc,Std Train Acc,Avg CV Test Acc,Std CV Test Acc,Hold-out Test Acc,Precision,Recall,F1
"Baseline (No Reg) + PCA (556, 95%)",N/A,0.9502,0.0704,0.517,0.015,0.5348,0.5387,0.9631,0.6909
Ridge CV (raw),545.559478,0.9393,0.0467,0.4722,0.0291,0.5199,0.5323,0.9124,0.6723
LASSO CV (raw),0.000001,0.5414,0.006,0.5403,0.0194,0.5398,0.5398,1.0,0.7011
Ridge CV (PCA-556),0.012743,0.7196,0.1249,0.4788,0.0358,0.5299,0.5368,0.9401,0.6834
LASSO CV (PCA-556),0.000001,0.5414,0.006,0.5403,0.0194,0.5398,0.5398,1.0,0.7011
"Baseline (No Reg)+DOW+PCA (557, 95%)",N/A,0.9527,0.0669,0.5121,0.0123,0.5348,0.5387,0.9631,0.6909
Ridge CV+DOW,3792.690191,0.9179,0.0739,0.4688,0.0304,0.5323,0.5375,0.9585,0.6887
LASSO CV+DOW,0.000001,0.5414,0.006,0.5403,0.0194,0.5398,0.5398,1.0,0.7011
Ridge CV+PCA (557)+DOW,10000.000000,0.7128,0.1139,0.4771,0.0335,0.5274,0.5356,0.9355,0.6812
LASSO CV+PCA (557)+DOW,0.000001,0.5414,0.006,0.5403,0.0194,0.5398,0.5398,1.0,0.7011
