model_name,label,time_ran,train_avg_accuracy,train_std_accuracy,validation_avg_accuracy,validation_std_accuracy,validation_avg_precision,validation_avg_recall,test_split_accuracy,test_split_positive_prediction_rate,test_split_true_up_rate,test_true_down,test_true_up,test_negative_down,test_negative_up,test_up_precision,test_up_recall,test_down_precision,test_down_recall,test_matthew_corr_coef,train_rows,train_cols,test_rows,test_cols,utility_score,parameters,mwfv_train_avg_accuracy,mwfv_train_std_accuracy,mwfv_test_avg_accuracy,mwfv_test_std_accuracy,clean_data__raw=,clean_data__extra_features=,clean_data__lag_period=,clean_data__lookback_period=,clean_data__sector=,clean_data__corr=,clean_data__corr_level=,clean_data__corr_threshold=
RandomForestClassifier,Base RF,2026-03-07 23:43:35,0.972,0.026,0.536,0.022,0.587,0.548,0.507,0.438,0.54,106,97,119,78,0.554,0.449,0.471,0.576,0.025,1600,264,400,264,-0.026,"n_est=500, depth=5, feat=sqrt",0.506,0.072,0.469,0.057,False,True,"[1, 2, 3]",10,True,True,1,0.8
RandomForestClassifier,PCA RF,2026-03-07 23:44:20,0.899,0.062,0.528,0.05,0.606,0.425,0.5,0.495,0.54,93,107,109,91,0.54,0.495,0.46,0.505,0.001,1600,264,400,264,-0.116,"n_est=500, depth=5, feat=sqrt",0.497,0.082,0.494,0.068,False,True,"[1, 2, 3]",10,True,True,1,0.8
RandomForestClassifier,LASSO RF,2026-03-07 23:45:02,0.763,0.066,0.544,0.011,0.597,0.517,0.517,0.412,0.54,113,94,122,71,0.57,0.435,0.481,0.614,0.05,1600,264,400,264,0.018,"n_est=500, depth=3, feat=sqrt",0.516,0.076,0.503,0.07,False,True,"[1, 2, 3]",10,True,True,1,0.8
RandomForestClassifier,Ridge RF,2026-03-07 23:46:19,1.0,0.0,0.545,0.019,0.575,0.655,0.535,0.595,0.54,80,134,82,104,0.563,0.62,0.494,0.435,0.056,1600,264,400,264,0.058,"n_est=500, depth=10, feat=sqrt",0.524,0.085,0.484,0.075,False,True,"[1, 2, 3]",10,True,True,1,0.8
RandomForestClassifier,Stepwise RF,2026-03-07 23:53:51,0.776,0.082,0.563,0.035,0.603,0.608,0.525,0.49,0.54,99,111,105,85,0.566,0.514,0.485,0.538,0.052,1600,33,400,33,0.022,"n_est=500, depth=3, feat=sqrt",0.501,0.084,0.459,0.043,False,True,"[1, 2, 3]",10,True,True,1,0.8
LogisticRegression,LASSO(int.) Log. Reg.,2026-03-07 23:58:22,0.705,0.081,0.517,0.034,0.556,0.498,0.532,0.668,0.54,65,148,68,119,0.554,0.685,0.489,0.353,0.041,1596,204,400,204,-0.018,"C=1.0, l1_ratio=1",0.521,0.073,0.481,0.093,False,True,"[2, 3]",14,True,True,3,0.9
LogisticRegression,Ridge(int.) Log. Reg.,2026-03-07 23:58:39,0.705,0.082,0.517,0.045,0.554,0.505,0.54,0.61,0.54,78,138,78,106,0.566,0.639,0.5,0.424,0.064,1596,204,400,204,0.03,"C=0.1, l1_ratio=0",0.519,0.079,0.469,0.09,False,True,"[2, 3]",14,True,True,3,0.9
LogisticRegression,PCA Ridge(int.) Log. Reg.,2026-03-07 23:59:10,0.575,0.015,0.523,0.056,0.561,0.485,0.477,0.308,0.54,126,65,151,58,0.528,0.301,0.455,0.685,-0.015,1596,204,400,204,-0.172,"C=1.0, l1_ratio=0",0.499,0.086,0.464,0.081,False,True,"[2, 3]",14,True,True,3,0.9
SVC,Linear Ker. SVM,2026-03-08 00:01:13,0.736,0.081,0.487,0.042,0.525,0.398,0.513,0.342,0.543,125,79,137,57,0.581,0.366,0.477,0.687,0.055,1588,154,398,154,-0.0,"C=1, kernel=linear, gamma=scale",0.496,0.078,0.519,0.068,False,False,2,24,True,True,1,0.95
SVC,RBF Ker. SVM,2026-03-08 00:01:20,0.527,0.038,0.543,0.022,0.449,0.732,0.46,0.033,0.543,176,7,209,6,0.538,0.032,0.457,0.967,-0.002,1588,154,398,154,-0.14,"C=0.1, kernel=rbf, gamma=scale",0.489,0.081,0.478,0.052,False,False,2,24,True,True,1,0.95
SVC,Poly. Ker. SVM,2026-03-08 00:01:53,0.91,0.045,0.489,0.032,0.523,0.474,0.523,0.608,0.543,74,134,82,108,0.554,0.62,0.474,0.407,0.028,1588,154,398,154,-0.025,"C=10, kernel=poly, gamma=scale",0.533,0.074,0.494,0.079,False,False,2,24,True,True,1,0.95
