run_time,model_name,search_type,grid_version,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score,best_params,notes
2026-03-09 03:43:23,SVM_linear,grid,v1_left,0.01,0.6114613538796326,0.4903952087741663,0.019219326581867216,3,"{""classifier__C"": 1}",
2026-03-09 03:43:23,SVM_linear,grid,v1_left,0.1,0.624190948740096,0.4979206374294456,0.0197313037084855,2,"{""classifier__C"": 1}",
2026-03-09 03:43:23,SVM_linear,grid,v1_left,1.0,0.6260586722259761,0.5018532900006777,0.02374527101397374,1,"{""classifier__C"": 1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.01,scale,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.01,auto,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.01,0.001,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.01,0.01,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.01,0.1,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.1,scale,0.510180868876521,0.49796747967479676,0.002874417809701415,13,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.1,auto,0.510180868876521,0.49796747967479676,0.002874417809701415,13,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.1,0.001,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.1,0.01,0.5044345587823849,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,0.1,0.1,0.5,0.5,0.0,3,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,1.0,scale,0.7982520480677376,0.49869203946202784,0.01734449739474795,11,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,1.0,auto,0.7982520480677376,0.49869203946202784,0.01734449739474795,11,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,1.0,0.001,0.5590748212403021,0.5023157345096275,0.04077337403627862,2,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,1.0,0.01,0.7158439835547677,0.4918772045485455,0.016693907502630872,15,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_rbf,grid,v1_left,1.0,0.1,0.9986295782690268,0.5036495420892231,0.005439260017132341,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,1,scale,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,1,auto,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,1,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,1,0.01,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,1,0.1,0.5327920063282202,0.48522677375637757,0.012950385892860888,57,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,2,scale,0.5091388502787757,0.5004752676727615,0.0037759700634036816,19,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,2,auto,0.5091388502787757,0.5004752676727615,0.0037759700634036816,19,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,2,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,2,0.01,0.5045776704210411,0.500971767594108,0.003226908993946913,17,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,2,0.1,0.6522061049777607,0.49532732886999725,0.036975678668441425,48,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,3,scale,0.5210155561814215,0.4963335903493338,0.006027698803608548,44,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,3,auto,0.5210155561814215,0.4963335903493338,0.006027698803608548,44,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,3,0.001,0.5,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,3,0.01,0.507982159603038,0.49972471291489695,0.0003893147292988617,36,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,0.01,3,0.1,0.8614362644075771,0.5151959548704422,0.014185520614260198,3,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
